opens,highs,lows,closes,volumes,qavs,numTrades,tbbavs,tbqavs,rsis,obvs,labels
2864.12000000,2902.20000000,2858.57000000,2891.44000000,152.39133000,438854.58216000,478,62.81235000,181041.08967910,52.24091468041131,-185.33691000000005,1
2891.16000000,2941.21000000,2878.10000000,2923.64000000,66.76377000,193657.40015480,293,42.45500000,123195.93312290,45.08179585010194,-335.85204999999996,0
2924.61000000,2940.42000000,2908.96000000,2923.17000000,68.20802000,199696.83457150,333,15.39819000,45050.27082000,39.44883070157904,-649.7127599999999,0
2920.00000000,2920.00000000,2885.60000000,2897.16000000,102.45182000,297463.08785020,291,33.26349000,96597.31976410,24.494501043711228,-733.07745,0
2898.87000000,2901.09000000,2882.07000000,2884.65000000,26.89465000,77676.16012450,74,11.33936000,32745.30633640,34.38609175759171,-302.77245999999997,1
2885.47000000,2896.88000000,2876.25000000,2885.98000000,15.41396000,44527.50161420,70,6.72827000,19420.07867230,39.44506179075326,-76.42746000000002,0
2882.07000000,2884.45000000,2844.16000000,2870.00000000,95.94023000,274208.20305300,239,21.72069000,62172.19483990,40.095841177477325,65.67758999999998,1
2870.59000000,2880.89000000,2854.14000000,2880.55000000,11.00870000,31536.10064520,74,5.70923000,16363.81690020,37.22740315638453,80.87758,1
2874.49000000,2895.22000000,2869.43000000,2880.89000000,46.30210000,133598.73261600,150,31.98184000,92292.69600310,43.107530007891334,-75.31120999999999,1
2880.88000000,2900.36000000,2880.88000000,2890.68000000,54.74411000,158281.87514820,113,42.78748000,123754.41252010,37.24809212630808,-150.50142000000005,1
2890.40000000,2904.04000000,2890.40000000,2892.12000000,12.45982000,36121.71144730,42,5.52263000,16008.03215740,28.507556981095387,-248.9254,1
2896.59000000,2915.93000000,2896.59000000,2906.39000000,13.40969000,38964.91828960,58,11.52050000,33473.39903050,27.965279798273592,-412.42337,0
2906.39000000,2906.39000000,2875.99000000,2890.51000000,31.40069000,90760.50725530,112,9.62565000,27818.01089910,25.239910005050696,-513.25755,1
2892.34000000,2903.09000000,2890.23000000,2895.65000000,10.41810000,30182.85424240,40,4.55657000,13209.59875430,38.38652001950465,-396.54893000000004,0
2883.85000000,2883.85000000,2863.49000000,2871.04000000,47.00974000,134949.25671870,99,15.86905000,45555.66396770,40.83102812355915,-284.78031,1
2871.28000000,2877.51000000,2868.22000000,2872.92000000,17.05717000,48966.06301490,53,11.13524000,31960.27724890,55.98170302603806,-107.46653,1
2880.82000000,2892.81000000,2877.99000000,2889.83000000,10.65478000,30744.74551160,28,4.98260000,14382.10637210,68.08844507845936,-32.03751,1
2888.72000000,2908.99000000,2886.99000000,2904.20000000,50.84071000,147533.70140850,74,37.37967000,108534.39573610,60.64223697650672,-122.26084000000006,0
2902.31000000,2902.77000000,2888.77000000,2896.76000000,6.06702000,17592.02514920,18,4.82158000,13985.10998770,47.57241379310344,-160.93770999999998,1
2904.74000000,2908.99000000,2895.94000000,2897.38000000,8.61507000,25022.66022180,38,5.62058000,16329.64785270,45.67283641820902,-257.32250999999997,1
2890.71000000,2905.15000000,2889.25000000,2905.15000000,3.06975000,8905.55955450,23,0.96646000,2803.40195000,45.905760666570835,-233.94683,0
2903.69000000,2904.80000000,2895.42000000,2904.80000000,13.57084000,39353.30985470,28,5.05655000,14664.14086110,36.5849935119455,-263.52118,0
2907.96000000,2922.57000000,2891.11000000,2891.11000000,24.24941000,70459.04549310,107,14.69442000,42705.65357260,39.963579173909324,-154.01011,1
2894.37000000,2896.48000000,2886.06000000,2896.48000000,11.72992000,33936.65197540,42,11.15505000,32273.28604980,46.191115086463796,-118.75200000000001,1
2905.15000000,2923.02000000,2901.19000000,2921.55000000,61.30474000,178574.43303870,136,34.30821000,99975.28058580,47.764760289810305,-109.2188,0
2923.02000000,2926.99000000,2915.68000000,2918.24000000,3.64013000,10638.08052190,48,2.34003000,6837.55611780,40.40555519332318,-16.62979,1
2916.79000000,2947.80000000,2916.79000000,2947.80000000,17.08044000,50135.91498140,125,8.56857000,25166.78454070,45.839477564777766,-0.5298399999999948,0
2948.92000000,2952.04000000,2941.97000000,2944.73000000,14.87795000,43807.51736010,55,9.99666000,29436.27495550,31.648407969761067,-4.139349999999997,1
2944.82000000,2966.61000000,2940.97000000,2954.85000000,17.57351000,51976.80267610,131,10.87481000,32149.43815420,34.067004285157836,42.13929,1
2952.77000000,2975.65000000,2952.77000000,2970.36000000,17.46606000,51878.00189090,85,7.59444000,22549.25819030,19.967032179459675,19.538800000000002,0
2970.39000000,2979.91000000,2959.08000000,2959.08000000,5.42955000,16134.30940970,37,4.28480000,12728.28730090,18.19012797074959,48.867580000000004,0
2963.55000000,2969.94000000,2954.24000000,2956.61000000,44.76520000,132531.00933080,53,6.63101000,19639.20618380,26.530197248017455,71.3543,0
2959.12000000,2961.46000000,2954.60000000,2955.95000000,1.34024000,3963.41006910,12,0.38810000,1148.18191310,30.6790533067905,126.77428,0
2955.95000000,2962.81000000,2943.64000000,2946.25000000,16.58516000,49010.77904940,43,4.75425000,14048.24172480,27.031431897555674,77.27381,1
2947.45000000,2950.35000000,2943.64000000,2949.08000000,15.05147000,44360.37678870,19,3.99228000,11766.39068540,32.284492133691195,99.92599000000003,1
2951.14000000,2966.79000000,2951.14000000,2957.35000000,12.29039000,36347.23411690,54,11.14381000,32953.50592020,33.483720580494975,90.42221000000002,0
2959.54000000,2961.56000000,2944.46000000,2947.05000000,9.76176000,28847.82310720,35,1.53424000,4530.10993260,31.35334610744473,69.53991000000003,0
